,FECHA,SEMANA,TURNO,HORA DE INICIO,RESPONSABLE,OPERADORES,NUMERO DE PEDIDO,SELL.,NOMBRE DEL PEDIDO,TIPO DE BOLSA,MEDIDA,CALIBRE,GPM (Golpes por minuto),TEMPERATURA DE SELLADO (INFERIOR),TEMPERATURA DE SELLADO (SUPERIOR),PESO/BULTO,KG/DE BOBINA,N° DE BULTOS,PROMEDIO,MILLARES,SERIALIZADO INICIO,SERIALIZADO FIN,PESO DE TROQUEL,MERMA EXTRUSION,CAUSAS EXTRUSION,MER IMPRESIÓN,CAUSAS IMPRESIÓN,IMPRESIÓN  MERMA POR PROCESO,MERMA SELLADO,CAUSAS SELLADO,BOLSA DE 2A,ORIGEN,CUARENTENA,BASURA,MUESTRAS,HORA FINAL,HORAS DE TRABAJO,year,month,day
2366,2019-06-26,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-2265,SEL012,HECL-001,TIPODEBOLSA2,20.5X33.5+3,140.0,,,,124.6,88.0,5.0,24.92,25.0,5001,30000,0.0,0.0,CAUSASEXTRUSION1,1.6,CAUSASIMPRESIÓN1,,0.04,CAUSASSELLADO1,0.0,,,0.28,0.04,21:50:00,7.8,2019,6,26
2367,2019-06-26,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES6,SAP-2265,SEL012,HECL-001,TIPODEBOLSA2,20.5X33.5+3,140.0,,,,69.81,71.0,2.0,34.91,13.967,30001,43967,0.0,0.0,CAUSASEXTRUSION1,1.5,CAUSASIMPRESIÓN1,,0.4,CAUSASSELLADO1,0.0,,,0.28,0,6:00:00,8.0,2019,6,26
2368,2019-06-26,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES13,SAP-2263,SEL008,HTOR-003,TIPODEBOLSA2,19.5X33,150.0,,,,100.0,90.0,4.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,3.22,CAUSASIMPRESIÓN1,,0.42,CAUSASSELLADO1,0.0,,,0.24,0,6:00:00,8.0,2019,6,26
2369,2019-06-26,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES10,SAP-2237,SEL011,MRHI-001,TIPODEBOLSA2,28X61,200.0,,,,207.55,216.0,13.0,15.97,13.0,1,1000,0.0,0.0,CAUSASEXTRUSION1,7.0,CAUSASIMPRESIÓN1,,0.74,CAUSASSELLADO1,0.0,,,0.64,0.09,6:00:00,8.0,2019,6,26
2370,2019-06-26,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES12,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,159.84,202.0,7.0,22.83,10.5,100501,111000,0.0,0.0,CAUSASEXTRUSION1,13.4,CAUSASIMPRESIÓN1,,4.4,CAUSASSELLADO1,0.0,,,0.75,0.12,6:00:00,8.0,2019,6,26
2371,2019-06-27,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES1,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,206.66,177.0,9.0,22.96,13.5,111001,124800,0.0,0.0,CAUSASEXTRUSION1,55.0,CAUSASIMPRESIÓN2,,2.4,CAUSASSELLADO1,0.0,,,0.35,0.13,14:00:00,8.0,2019,6,27
2372,2019-06-27,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES41,SAP-2323,SEL009,POLE-001,TIPODEBOLSA1,30+18X57,50.0,,,,90.83,106.0,5.0,18.17,15.0,,,14.31,0.0,CAUSASEXTRUSION1,0.68,CAUSASIMPRESIÓN1,,0.04,CAUSASSELLADO1,0.77,IMPRESIÓN,,0.15,0,13:30:00,7.5,2019,6,27
2373,2019-06-27,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES32,SAP-2263,SEL008,HTOR-003,TIPODEBOLSA2,19.5X33,150.0,,,,75.0,112.0,3.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,4.0,CAUSASIMPRESIÓN2,,0.68,CAUSASSELLADO1,0.0,,,0.26,0,14:00:00,8.0,2019,6,27
2374,2019-06-27,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES2,SAP-2237,SEL011,MRHI-001,TIPODEBOLSA2,28X61,200.0,,,,193.71,221.0,12.0,16.14,12.0,1001,13000,0.0,6.0,CAUSASEXTRUSION2,10.25,CAUSASIMPRESIÓN1,,1.65,CAUSASSELLADO1,0.0,,,0.85,0.15,14:00:00,8.0,2019,6,27
2375,2019-06-27,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES34,SAP-2265,SEL012,HECL-001,TIPODEBOLSA2,20.5X33.5+3,140.0,,,,92.65,104.0,3.0,30.88,15.0,1,18600,0.0,0.0,CAUSASEXTRUSION1,2.0,CAUSASIMPRESIÓN1,,0.46,CAUSASSELLADO1,0.0,,,0.32,0,11:15:00,5.3,2019,6,27
2376,2019-06-27,26,1.0,12:00:00 p. m.,RESPONSABLE1,OPERADORES34,SAP-2279,SEL012,PLUS-002,TIPODEBOLSA2,22.5X60,200.0,,,,100.0,108.0,4.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,0.2,CAUSASIMPRESIÓN2,,0.15,CAUSASSELLADO1,0.0,,,0.2,0.15,14:00:00,2.0,2019,6,27
2377,2019-06-27,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES8,SAP-2263,SEL008,HTOR-003,TIPODEBOLSA2,19.5X33,150.0,,,,98.0,48.0,3.0,32.67,0.0,,,0.0,0.0,CAUSASEXTRUSION1,3.27,CAUSASIMPRESIÓN1,,0.42,CAUSASSELLADO1,0.0,,,0.06,0,21:30:00,7.5,2019,6,27
2378,2019-06-27,26,2.0,2:20:00 p. m.,RESPONSABLE2,OPERADORES15,SAP-2323,SEL009,POLE-001,TIPODEBOLSA1,30+18X57,50.0,,,,145.59,207.0,8.0,18.2,24.0,,,20.88,0.0,CAUSASEXTRUSION1,0.74,CAUSASIMPRESIÓN1,,0.0,CAUSASSELLADO2,1.62,IMP. Y SELL,,0.11,0.05,21:30:00,7.2,2019,6,27
2379,2019-06-27,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES5,SAP-2233,SEL010,MIZU-001,TIPODEBOLSA2,30X64,200.0,,,,207.84,223.0,9.0,23.09,10.8,,,0.0,4.0,CAUSASEXTRUSION2,4.0,CAUSASIMPRESIÓN1,,1.22,CAUSASSELLADO1,0.0,,,0.52,0.15,22:00:00,8.0,2019,6,27
2380,2019-06-27,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-2237,SEL011,MRHI-001,TIPODEBOLSA2,28X61,200.0,,,,100.62,88.0,6.0,16.77,6.225,1001,3225,0.0,0.0,CAUSASEXTRUSION1,4.25,CAUSASIMPRESIÓN1,,0.0,CAUSASSELLADO2,0.0,,,0.05,0.1,18:00:00,4.0,2019,6,27
2381,2019-06-27,26,2.0,6:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-2268,SEL011,HECL-004,TIPODEBOLSA2,30X61.5+5,180.0,,,,74.53,117.0,3.0,24.84,4.5,1,4500,0.0,0.0,CAUSASEXTRUSION1,0.0,CAUSASIMPRESIÓN4,,0.54,CAUSASSELLADO1,0.0,,,0.02,0.13,22:00:00,4.0,2019,6,27
2382,2019-06-27,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-2279,SEL012,PLUS-002,TIPODEBOLSA2,22.5X60,200.0,,,,225.0,240.0,9.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,3.29,CAUSASIMPRESIÓN1,,0.25,CAUSASSELLADO1,0.0,,,0.6,0.11,21:40:00,7.7,2019,6,27
2383,2019-06-27,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES7,SAP-2233,SEL010,MIZU-001,TIPODEBOLSA2,30X64,200.0,,,,283.76,309.0,12.0,23.65,15.0,,,0.0,7.49,CAUSASEXTRUSION6,3.18,CAUSASIMPRESIÓN1,,0.9,CAUSASSELLADO1,0.0,,,0.32,0.14,6:00:00,8.0,2019,6,27
